Imperfect order rate,priority_5
month,Old priority,New priority
1,0.0316595494036224,0.0365231585390736
2,0.0311183144246353,0.0318567961165048
3,0.0306865464632454,0.0306709265175718
4,0.0314444257608878,0.0334212840809146
5,0.02981345769487,0.029393106364982
6,0.0300064184852374,0.0256292906178489
