Healthy stores,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,201.4516129032258,51.03225806451613,500.258064516129,674.3225806451613,674.52,1230.52
2,274.6896551724138,29.310344827586206,500.3448275862069,508.13793103448273,669.4827586206897,1677.1724137931035
3,342.35483870967744,305.61290322580646,619.9354838709677,195.29032258064515,677.1612903225806,1469.354838709677
4,319.6666666666667,315.4,792.6333333333333,169.83333333333334,682.9,1417.3666666666666
5,286.5806451612903,334.16129032258067,755.3225806451613,159.7741935483871,705.7096774193549,1436.3870967741937
6,258.06666666666666,404.1333333333333,850.8666666666667,215.13333333333333,590.5,1323.9333333333334
7,232.4516129032258,484.4516129032258,894.483870967742,154.5483870967742,564.0967741935484,1274.3225806451612
8,243.9032258064516,514.5483870967741,943.9354838709676,150.96774193548387,618.0967741935484,1140.3870967741937
9,273.2,523.7333333333333,1035.2666666666669,155.2,585.3666666666667,1067.9333333333334
