Daily online hours,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,264.71749999999963,98.40222222222224,862.870017921146,2451.990860215054,1327.8612888888902,3719.333022222223
2,325.06894636015306,29.472539682539686,976.758965517244,1291.060890804593,1491.4131609195406,4853.370555555548
3,371.30600358422976,859.9268100358423,1200.3875537634362,209.09397849462377,1403.7350716845897,4360.478181003558
4,333.8988333333328,773.796342592593,1487.4562129629624,83.1900925925926,1533.9555092592589,4467.568481481463
5,275.11046594982093,887.153548387096,1435.7348745519737,1144.6905107526866,1492.885152329752,3607.971738351262
6,257.61338888888906,887.7044629629617,1475.3029907407397,1164.7747499999994,1349.5810185185182,3537.0346018518435
7,294.281370967742,1042.6112096774175,1564.8312455197174,1323.744471326166,890.063082437276,3313.806191756264
8,358.7879301075266,1098.5738888888868,1527.5834318996426,1304.556281362007,1424.79305555556,2666.102356630829
9,335.6912222222223,1096.191342592591,1613.3873148148227,1267.9789814814849,1082.991953703705,2909.448648148168
