Exposure uv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,192092,46526,2573545,2421626,1512232,2246945
2,184005,28281,2683328,1525847,1673348,2848072
3,289296,2461845,1668485,168910,1822832,4002846
4,240438,1984975,1611683,56016,1582632,3200276
5,273797,2439982,1712511,579983,1532928,2671093
6,293467,2348253,1857231,737751,1404032,3086027
7,295893,2434825,1863937,909348,868597,3005503
8,337528,2653877,1896584,873463,1239396,2160906
9,362921,2529113,1905723,845684,1069204,2112965
