Ted,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,1796081.0,779513.0,65106757.0,21958517.0,16301763.0,6604042.0
2,2627791.0,177742.0,65102024.0,19573039.0,14316811.0,9050429.0
3,3494821.0,67495930.0,23352205.0,732718.0,16412881.0,8129413.0
4,2785870.0,86179012.0,28664059.0,1188691.0,13087813.0,7768363.0
5,4124218.0,96229773.0,29101810.0,3239180.0,12718285.0,5198102.0
6,4427666.0,92301872.0,31411938.0,5690393.0,11353540.0,5458648.0
7,4508765.0,91369374.0,35570609.0,6740676.0,7971487.0,5577402.0
8,4506150.0,97571635.0,32169528.0,7471055.0,12286264.0,3566550.0
9,4782887.0,95860986.0,31643970.0,8026500.0,11525493.0,4047221.0
