Exposure per eff online,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,354.501662761696,375.2983358547655,880.3205941405735,370.2498658832546,424.2042000682746,394.2765619961932
2,333.70726151258145,337.3291652585333,866.3224211103934,380.8195032842318,406.67743228081423,332.246981965337
3,336.95118627096485,955.2853889570551,410.897920731474,266.48405240174674,460.02906988440446,409.3519333832984
4,321.7497040146378,930.6855690223862,417.1962219167117,223.4083839499356,399.52385083087154,358.9731460637232
5,414.87223260218576,1000.2157725587144,452.720576115223,212.57419011586663,442.1856819596561,437.5865868667701
6,443.3069680290432,955.748668660815,443.7029699425773,252.94126821178972,436.4405964045007,482.9102740740408
7,412.3625053785569,841.1000279247019,440.92172109207706,235.26443742922828,396.58594367297263,439.8378820933696
8,385.16177042953,830.4195257888516,422.8526125316991,226.58459678996107,362.9816682630242,385.3452320598548
9,411.5490718497488,829.6123646501977,431.7380607043696,246.2453248216297,356.9821551415756,360.6368309901648
