P2c burn per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,13.406486553894457,12.035311376663753,12.24960089872878,12.929300538453836,13.188227385944918,13.307193699076588
2,10.436072810574869,9.932079195314488,9.7699676905086,9.360855610261543,9.79765636717146,9.962204819734962
3,9.905927606893297,10.748034546979223,9.465574842472687,10.76843262858946,10.138302308423103,10.35061760734383
4,11.566774493996054,11.70198999580158,10.468213438976491,11.423561720539576,10.964784801189728,11.059546282393503
5,12.051120398167168,10.949102548836288,10.25432886460542,11.372658559004456,10.851951629352117,10.637727061613717
6,11.498988717327112,10.911838304614095,10.467034388729417,10.962750221737052,11.070563129770758,11.251538595407848
7,9.727085092552656,9.101340449238984,8.960439056176423,9.674685856949177,9.56573217995076,10.442648732165418
8,10.942865038525415,10.247735633656411,10.394321227729016,10.702206958836392,10.498587028031013,10.962490687581164
9,11.56620622963136,10.9492813899548,10.90407105125186,11.057652195964687,10.951176730641704,11.69237068003328
