Pay success user cnt app,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,70328,10524,1875163,372966,557467,152613
2,67399,8018,1768589,297087,614299,202236
3,92613,1640186,548114,33305,830303,190491
4,103202,1657643,607574,20755,730451,158147
5,131370,1726363,671612,45257,789210,221158
6,147763,1662155,721895,61773,680079,195644
7,171834,1796089,790219,64511,650700,138379
8,191291,1871984,763252,66285,650370,128037
9,205896,1764129,811077,66740,543390,108325
