Total p2c burn,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,913799.53,123879.46,22674733.99,4648704.15,7047379.88,1837390.77
2,674232.92,78006.55,17018336.03,2656039.81,5774875.83,1835048.09
3,881766.24,17405560.61,5011378.22,341251.63,8121013.33,1786030.12
4,1154954.0,19176191.43,6172665.8,224415.87,7734241.22,1590982.09
5,1525430.82,18573860.48,6640057.35,482530.53,8214797.16,2152969.58
6,1631695.0,17824662.46,7285495.55,642724.12,7213866.77,2004236.57
7,1601165.75,16066969.45,6848042.43,585144.35,5968098.57,1297676.63
8,2009602.45,18958321.17,7713137.25,675459.09,6590687.48,1283137.61
9,2278473.23,18986513.8,8547843.05,697660.45,5697404.45,1152329.9
