Aop,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,36.336073281452656,39.466242454728366,44.75601619414412,43.913353302270544,42.75275670133294,41.370972559268246
2,36.95413342386692,38.24105882352941,42.04633636817161,43.29449045418882,39.4694163711584,41.03641924139664
3,37.42758230452674,43.43511277021117,44.211303713934925,42.57066273263731,41.214456012493486,41.14724586423274
4,37.56064667033572,42.19177943425077,41.48294624079916,42.50692988929889,40.54607265586648,38.15018728360088
5,37.056440617151054,41.27954728988956,41.515396482763,45.619672657252885,42.57311058220432,38.58680335365854
6,36.55397946084724,41.37481323671991,42.600320323793,43.57018841911765,40.1615333701048,37.49279960429621
7,37.7147883258499,40.92401238755991,42.333726299496966,42.34203806228373,41.68365658672228,38.53199511985072
8,38.01587248322148,40.55054243638899,42.72894473838918,42.38136933045356,39.44325834542816,39.00747883149873
9,35.07901833234772,39.976343470982144,42.360010799719205,41.8687428353076,40.10954609134211,40.70605588526212
